Date,Time,DayOfWeek,AreaID,AreaType,OccupancyCount,Event,FootTraffic,EmployeePreferences,Temperature,LightingLevel,NoiseLevel,SpaceCondition,SpecialEquipment,AreaSize_sqft,RoomCapacity,UtilizationLabel
2023-01-01,00:00,Sunday,A086,Meeting Room,40,None,89,Flexible,25.5,Bright,Moderate,Under Maintenance,Computer,199,57,High
2023-01-01,01:00,Sunday,A079,Open Space,12,Workshop,12,Flexible,20.5,Bright,Loud,Available,Projector,715,42,Low
2023-01-01,02:00,Sunday,A013,Private Office,29,Client Visit,55,Collaborative,20,Dim,Loud,Occupied,None,657,47,Medium
2023-01-01,03:00,Sunday,A004,Private Office,32,None,30,Quiet,23.2,Bright,Loud,Under Maintenance,Projector,655,39,High
2023-01-01,04:00,Sunday,A029,Open Space,12,None,33,Flexible,23,Medium,Quiet,Available,None,377,44,Low
2023-01-01,05:00,Sunday,A075,Private Office,25,None,38,Flexible,20.7,Bright,Moderate,Under Maintenance,None,792,50,Medium
2023-01-01,06:00,Sunday,A032,Meeting Room,21,None,66,Collaborative,25.4,Bright,Moderate,Under Maintenance,Computer,798,60,Medium
2023-01-01,07:00,Sunday,A057,Meeting Room,38,Client Visit,7,Collaborative,24.8,Dim,Quiet,Occupied,Computer,725,66,Medium
2023-01-01,08:00,Sunday,A064,Meeting Room,1,Client Visit,86,Flexible,19.8,Dim,Loud,Under Maintenance,Projector,590,52,Low
2023-01-01,09:00,Sunday,A053,Meeting Room,37,Client Visit,77,Collaborative,19.9,Dim,Loud,Under Maintenance,Whiteboard,354,44,High
2023-01-01,10:00,Sunday,A024,Open Space,38,None,54,Flexible,22.1,Medium,Quiet,Occupied,Whiteboard,480,46,High
2023-01-01,11:00,Sunday,A096,Private Office,25,Client Visit,26,Quiet,24.2,Dim,Quiet,Under Maintenance,None,991,47,Medium
2023-01-01,12:00,Sunday,A019,Private Office,45,Team Meeting,92,Quiet,18.4,Medium,Quiet,Under Maintenance,Computer,641,64,High
2023-01-01,13:00,Sunday,A054,Meeting Room,49,Team Meeting,52,Flexible,23.5,Bright,Moderate,Under Maintenance,Whiteboard,363,59,High
